source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,condition
Mesenchyme,Mesenchyme,COL1A1,ITGA1_ITGB1,2.569967583511438e-5,0,COL1A1_ITGA1_ITGB1,COL1A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL1A2,ITGA1_ITGB1,2.5250747846422623e-5,0,COL1A2_ITGA1_ITGB1,COL1A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A1,ITGA1_ITGB1,1.0751273238337333e-4,0,COL4A1_ITGA1_ITGB1,COL4A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A1,ITGA1_ITGB1,4.514255442372591e-6,0,COL4A1_ITGA1_ITGB1,COL4A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,COL4A2,ITGA1_ITGB1,9.245035826908474e-6,0,COL4A2_ITGA1_ITGB1,COL4A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A2,ITGA1_ITGB1,1.0233499875818348e-4,0,COL4A2_ITGA1_ITGB1,COL4A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A2,ITGA1_ITGB1,6.941416279196447e-6,0,COL4A2_ITGA1_ITGB1,COL4A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A1,ITGA1_ITGB1,1.7794826544019466e-5,0,COL6A1_ITGA1_ITGB1,COL6A1 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A2,ITGA1_ITGB1,2.2906384418816685e-5,0,COL6A2_ITGA1_ITGB1,COL6A2 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A3,ITGA1_ITGB1,4.71917075877275e-6,0,COL6A3_ITGA1_ITGB1,COL6A3 - (ITGA1+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMA4,ITGA1_ITGB1,3.6884257474226775e-5,0,LAMA4_ITGA1_ITGB1,LAMA4 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMA4,ITGA1_ITGB1,2.2681951071576424e-6,0,LAMA4_ITGA1_ITGB1,LAMA4 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMB2,ITGA1_ITGB1,1.3770286563165948e-5,0,LAMB2_ITGA1_ITGB1,LAMB2 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMB2,ITGA1_ITGB1,9.362106694728146e-7,0,LAMB2_ITGA1_ITGB1,LAMB2 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMB2,ITGA1_ITGB1,4.034833335578078e-6,0,LAMB2_ITGA1_ITGB1,LAMB2 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,LAMC1,ITGA1_ITGB1,8.562293788912296e-6,0,LAMC1_ITGA1_ITGB1,LAMC1 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMC1,ITGA1_ITGB1,3.663486472455151e-7,0,LAMC1_ITGA1_ITGB1,LAMC1 - (ITGA1+ITGB1),LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,FN1,CD44,2.934237704263313e-6,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,FN1,CD44,1.3287789613788817e-5,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,FN1,CD44,4.074501318682689e-6,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,FN1,CD44,2.0779109763696054e-6,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL1A1,CD44,8.095169335119463e-6,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL1A2,CD44,7.950869013600858e-6,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A1,CD44,3.3614335777979986e-5,0,COL4A1_CD44,COL4A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A1,CD44,1.397954435160045e-6,0,COL4A1_CD44,COL4A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,COL4A2,CD44,2.8595073709972087e-6,0,COL4A2_CD44,COL4A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,COL4A2,CD44,3.1975090640291745e-5,0,COL4A2_CD44,COL4A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL4A2,CD44,2.1537507331121467e-6,0,COL4A2_CD44,COL4A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A1,CD44,5.569540752579961e-6,0,COL6A1_CD44,COL6A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A2,CD44,7.199014572676249e-6,0,COL6A2_CD44,COL6A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,COL6A3,CD44,1.461650273345524e-6,0,COL6A3_CD44,COL6A3 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMA4,CD44,1.1432515415494455e-5,0,LAMA4_CD44,LAMA4 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMA4,CD44,7.011500826984022e-7,0,LAMA4_CD44,LAMA4 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Endothelia,Mesenchyme,LAMB2,CD44,4.2561703877630965e-6,0,LAMB2_CD44,LAMB2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMB2,CD44,2.8950924648767395e-7,0,LAMB2_CD44,LAMB2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,LAMB2,CD44,1.2490121616101453e-06,0,LAMB2_CD44,LAMB2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,LAMC1,CD44,2.647867557839737e-6,0,LAMC1_CD44,LAMC1 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Hepatocyte,Mesenchyme,LAMC1,CD44,1.1313853032018705e-7,0,LAMC1_CD44,LAMC1 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,cirrhotic
Mesenchyme,Mesenchyme,THBS1,CD47,1.720275652316322e-6,0,THBS1_CD47,THBS1 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,cirrhotic
Cholangiocyte,Mesenchyme,APP,CD74,1.1719653424842829e-4,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,cirrhotic
Endothelia,Mesenchyme,APP,CD74,3.023859012384771e-4,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,cirrhotic
pDC,Mesenchyme,APP,CD74,1.2268459296975886e-5,0,APP_CD74,APP - CD74,APP,Cell-Cell Contact,PMID: 19849849,cirrhotic
Cycling,Mesenchyme,CD99,CD99,3.7915188782977205e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Endothelia,Mesenchyme,CD99,CD99,4.688181678224129e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
ILC,Mesenchyme,CD99,CD99,3.60097571517174e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Mast cell,Mesenchyme,CD99,CD99,6.012341928445167e-6,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Mesenchyme,Mesenchyme,CD99,CD99,7.665240924672333e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
pDC,Mesenchyme,CD99,CD99,1.5046318978165051e-5,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
T cell,Mesenchyme,CD99,CD99,4.378909481833126e-4,0,CD99_CD99,CD99 - CD99,CD99,Cell-Cell Contact,KEGG: hsa04514,cirrhotic
Endothelia,Mesenchyme,ESAM,ESAM,5.392706322803361e-5,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,cirrhotic
Mesenchyme,Mesenchyme,ESAM,ESAM,1.5564340696470314e-6,0,ESAM_ESAM,ESAM - ESAM,ESAM,Cell-Cell Contact,KEGG: hsa04514; PMID: 11279107,cirrhotic
Endothelia,Mesenchyme,DLL4,NOTCH3,2.1690422161578425e-5,0,DLL4_NOTCH3,DLL4 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,cirrhotic
Cholangiocyte,Mesenchyme,JAG1,NOTCH3,5.6343972346878514e-6,0,JAG1_NOTCH3,JAG1 - NOTCH3,NOTCH,Cell-Cell Contact,PMID: 22353464,cirrhotic
