mature_mirna_id,target_symbol,databases,n_evidence,known_fibrosis_family
hsa-miR-3191-5p,THBS2,mirtarbase,2,NA
hsa-miR-3193,THBS2,mirtarbase,2,NA
hsa-miR-320a-3p,THY1,tarbase,1,NA
hsa-miR-320b,THBS2,tarbase,1,NA
hsa-miR-320b,THY1,tarbase,1,NA
hsa-miR-320c,THY1,tarbase,1,NA
hsa-miR-324-3p,THBS2,tarbase,1,NA
hsa-miR-33a-3p,THY1,tarbase,1,NA
hsa-miR-33a-5p,THY1,tarbase,1,NA
hsa-miR-33b-3p,THY1,mirtarbase,2,NA
hsa-miR-33b-5p,THY1,tarbase,1,NA
hsa-miR-34a-5p,THBS2,tarbase,1,miR-34a
hsa-miR-34a-5p,THY1,tarbase,1,miR-34a
hsa-miR-34b-5p,THBS2,tarbase,1,NA
hsa-miR-34c-5p,THBS2,tarbase,1,NA
hsa-miR-361-3p,THBS2,mirtarbase,2,NA
hsa-miR-361-5p,LUM,tarbase,1,NA
hsa-miR-3613-5p,THBS2,tarbase,1,NA
hsa-miR-3615,THBS2,mirtarbase,2,NA
hsa-miR-365a-3p,THBS2,mirtarbase,2,NA
hsa-miR-365b-3p,THBS2,mirtarbase,2,NA
hsa-miR-3692-5p,THY1,mirtarbase,1,NA
hsa-miR-375-3p,LUM,tarbase,1,NA
hsa-miR-376a-3p,THBS2,tarbase,1,NA
hsa-miR-376a-3p,THY1,tarbase,1,NA
hsa-miR-376a-5p,THY1,tarbase,1,NA
hsa-miR-378a-3p,THY1,tarbase,1,NA
hsa-miR-378j,THBS2,mirtarbase,2,NA
hsa-miR-382-5p,THY1,tarbase,1,NA
hsa-miR-3922-5p,THBS2,mirtarbase,2,NA
hsa-miR-423-5p,THBS2,tarbase,1,NA
hsa-miR-423-5p,THY1,tarbase,1,NA
hsa-miR-424-5p,THY1,tarbase,1,NA
hsa-miR-425-5p,LUM,tarbase,1,NA
hsa-miR-4269,THY1,mirtarbase,1,NA
hsa-miR-4281,THBS2,mirtarbase,2,NA
hsa-miR-4287,THY1,mirtarbase,2,NA
hsa-miR-4326,THBS2,mirtarbase,2,NA
hsa-miR-433-5p,THBS2,tarbase,1,NA
hsa-miR-4469,THBS2,mirtarbase,2,NA
hsa-miR-4491,THBS2,mirtarbase,2,NA
hsa-miR-449b-5p,THBS2,tarbase,1,NA
hsa-miR-450a-5p,LUM,tarbase,1,NA
hsa-miR-450a-5p,THY1,tarbase,1,NA
hsa-miR-450b-5p,LUM,mirtarbase,1,NA
hsa-miR-4514,THY1,mirtarbase,1,NA
hsa-miR-4518,THBS2,mirtarbase,2,NA
hsa-miR-4536-5p,THBS2,mirtarbase,2,NA
hsa-miR-454-3p,THY1,tarbase,1,NA
hsa-miR-4649-5p,THY1,mirtarbase,2,NA
hsa-miR-4657,THBS2,mirtarbase,2,NA
hsa-miR-4667-3p,THBS2,mirtarbase,2,NA
hsa-miR-4685-3p,THY1,mirtarbase,2,NA
hsa-miR-4692,THY1,mirtarbase,1,NA
hsa-miR-4706,THY1,mirtarbase,2,NA
hsa-miR-4719,THBS2,mirtarbase,2,NA
hsa-miR-4723-3p,THBS2,mirtarbase,2,NA
hsa-miR-4728-3p,THY1,tarbase,1,NA
hsa-miR-4753-3p,THBS2,mirtarbase,2,NA
hsa-miR-4768-5p,THBS2,mirtarbase,2,NA
hsa-miR-4771,THBS2,mirtarbase,2,NA
hsa-miR-4781-5p,THY1,mirtarbase,2,NA
hsa-miR-4782-5p,THBS2,mirtarbase,2,NA
hsa-miR-486-3p,THY1,mirtarbase,1,NA
hsa-miR-491-3p,THBS2,tarbase,1,NA
hsa-miR-493-5p,THBS2,tarbase,1,NA
hsa-miR-494-3p,THY1,tarbase,1,NA
hsa-miR-499a-5p,LUM,tarbase,1,NA
hsa-miR-503-5p,THY1,tarbase,1,NA
hsa-miR-510-5p,THBS2,mirtarbase,2,NA
hsa-miR-515-3p,THY1,mirtarbase,2,NA
hsa-miR-516b-5p,THY1,tarbase,1,NA
hsa-miR-518c-5p,THBS2,mirtarbase,2,NA
hsa-miR-518f-5p,THBS2,tarbase,1,NA
hsa-miR-519d-3p,THY1,mirtarbase,2,NA
hsa-miR-519e-3p,THY1,mirtarbase,2,NA
hsa-miR-520c-3p,THY1,tarbase,1,NA
hsa-miR-550a-3p,THBS2,tarbase,1,NA
hsa-miR-5572,THBS2,mirtarbase,2,NA
hsa-miR-5706,THBS2,mirtarbase,2,NA
hsa-miR-584-5p,THY1,tarbase,1,NA
hsa-miR-593-3p,THBS2,mirtarbase,2,NA
hsa-miR-597-5p,THBS2,tarbase,1,NA
hsa-miR-619-5p,THBS2,tarbase,1,NA
hsa-miR-6515-3p,THBS2,mirtarbase,2,NA
hsa-miR-662,THBS2,mirtarbase,2,NA
hsa-miR-663a,THBS2,mirtarbase,2,NA
hsa-miR-670-3p,THBS2,mirtarbase,2,NA
hsa-miR-6715b-5p,THY1,mirtarbase,1,NA
hsa-miR-6721-5p,THY1,mirtarbase,1,NA
hsa-miR-6729-5p,THY1,mirtarbase,2,NA
hsa-miR-6737-5p,THBS2,mirtarbase,2,NA
hsa-miR-6741-3p,THBS2,mirtarbase,2,NA
hsa-miR-6756-3p,THBS2,mirtarbase,2,NA
hsa-miR-6762-5p,THBS2,mirtarbase,2,NA
hsa-miR-6764-3p,THBS2,mirtarbase,2,NA
hsa-miR-6767-5p,THBS2,mirtarbase,2,NA
hsa-miR-6769b-3p,THBS2,mirtarbase,2,NA
hsa-miR-6778-3p,THY1,mirtarbase,2,NA
hsa-miR-6787-5p,THBS2,mirtarbase,2,NA
hsa-miR-6791-3p,THY1,mirtarbase,2,NA
hsa-miR-6793-3p,THBS2,mirtarbase,2,NA
hsa-miR-6798-5p,THBS2,mirtarbase,2,NA
hsa-miR-6808-5p,THY1,mirtarbase,1,NA
hsa-miR-6809-3p,THBS2,mirtarbase,2,NA
hsa-miR-6812-5p,THBS2,mirtarbase,2,NA
hsa-miR-6814-5p,THBS2,mirtarbase,2,NA
