"gene","cell_type","condition","pct_expressing","avg_expr","n_cells"
"THBS2","Plasma cell","healthy",0.492610837438424,0.00184409353230677,406
"THBS2","T cell","cirrhotic",0.0636233497693654,0.000809644056211586,6287
"THBS2","T cell","healthy",0,0,10616
"THBS2","pDC","cirrhotic",0,0,189
"THBS2","pDC","healthy",0,0,143
"THY1","B cell","cirrhotic",0.495458298926507,0.00564555593919707,1211
"THY1","B cell","healthy",0,0,739
"THY1","Cholangiocyte","cirrhotic",1.61495962600935,0.0153722853145252,2353
"THY1","Cholangiocyte","healthy",0.263620386643234,0.00272498138182222,1138
"THY1","Cycling","cirrhotic",9.54773869346734,0.108155425285831,398
"THY1","Cycling","healthy",0,0,498
"THY1","Endothelia","cirrhotic",18.9797148021691,0.243465241872883,4979
"THY1","Endothelia","healthy",4.66155810983397,0.0539123495856106,3132
"THY1","Hepatocyte","cirrhotic",1.90839694656489,0.0113708149078027,262
"THY1","Hepatocyte","healthy",0,0,49
"THY1","ILC","cirrhotic",0.344273582740418,0.0049486190426358,4357
"THY1","ILC","healthy",0.0489141068284093,0.000953907268750234,10222
"THY1","MP","cirrhotic",0.959179121124247,0.0081013797242986,4483
"THY1","MP","healthy",0.327102803738318,0.00310337580709789,6420
"THY1","Mast cell","cirrhotic",1.0989010989011,0.010623942291783,91
"THY1","Mast cell","healthy",0,0,107
"THY1","Mesenchyme","cirrhotic",41.9397116644823,0.662059426406846,763
"THY1","Mesenchyme","healthy",5.36159600997506,0.0824538145757162,1604
"THY1","Plasma cell","cirrhotic",1.46443514644351,0.00474834318903718,478
"THY1","Plasma cell","healthy",1.23152709359606,0.00361722194580635,406
"THY1","T cell","cirrhotic",1.4633370446954,0.0219649040616658,6287
"THY1","T cell","healthy",1.47889977392615,0.0248399497008589,10616
"THY1","pDC","cirrhotic",0.529100529100529,0.00449478044708277,189
"THY1","pDC","healthy",1.3986013986014,0.0168388782328488,143
