"TF","mean_activity_cirrhotic","mean_activity_healthy","activity_diff","pvalue","padj","regulates","regulates_fibrogenic_gene"
"IRF9",0.484715830727861,-0.779705043029509,1.26442087375737,0.0317460317460317,0.531519274376417,NA,FALSE
"KLF4",-1.13378156825456,0.711494369324097,-1.84527593757865,0.0317460317460317,0.531519274376417,NA,FALSE
"MNT",-0.644794444417837,1.11998148942602,-1.76477593384386,0.0317460317460317,0.531519274376417,NA,FALSE
"NANOG",-0.556831373424606,0.801627760892428,-1.35845913431703,0.0317460317460317,0.531519274376417,NA,FALSE
"NR4A2",1.19791891776322,-0.804242845664177,2.0021617634274,0.0317460317460317,0.531519274376417,NA,FALSE
"OVOL1",-0.327035526568675,0.423152773292667,-0.750188299861343,0.0317460317460317,0.531519274376417,NA,FALSE
"SALL4",0.872905279372485,-0.554528918000365,1.42743419737285,0.0317460317460317,0.531519274376417,NA,FALSE
"SMARCC1",-0.820237694956445,1.22713289436378,-2.04737058932022,0.0317460317460317,0.531519274376417,NA,FALSE
"TCF7",-0.416853453423176,0.814257588926924,-1.2311110423501,0.0317460317460317,0.531519274376417,NA,FALSE
"YAP1",0.608269460503894,-1.10884562389181,1.7171150843957,0.0317460317460317,0.531519274376417,NA,FALSE
"ZBTB7B",-0.304496933876576,0.503827483774939,-0.808324417651515,0.0317460317460317,0.531519274376417,NA,FALSE
"ZNF236",0.60345364716591,-0.797402419287335,1.40085606645324,0.0317460317460317,0.531519274376417,NA,FALSE
"ZNF436",-0.461770859220404,0.423809878709697,-0.885580737930101,0.0317460317460317,0.531519274376417,NA,FALSE
"EGR4",0.55419306331611,-0.983662492070391,1.5378555553865,0.0555555555555556,0.538811459543167,NA,FALSE
"FOSB",0.501019614282696,-0.833337672035481,1.33435728631818,0.0555555555555556,0.538811459543167,NA,FALSE
"GFI1B",1.07375496090709,-0.631723308513708,1.7054782694208,0.0555555555555556,0.538811459543167,NA,FALSE
"HAND1",0.56312372509776,-0.469556380149916,1.03268010524768,0.0555555555555556,0.538811459543167,NA,FALSE
"HDAC4",0.86760467706571,-0.818656430604535,1.68626110767024,0.0555555555555556,0.538811459543167,NA,FALSE
"HHEX",0.388693992501662,-0.536962611956938,0.9256566044586,0.0555555555555556,0.538811459543167,NA,FALSE
"HOXA1",-0.781587825895971,0.675290596753785,-1.45687842264976,0.0555555555555556,0.538811459543167,NA,FALSE
"JDP2",1.13336081780425,-1.30030951445507,2.43367033225932,0.0555555555555556,0.538811459543167,NA,FALSE
"KAT5",-0.613732023218059,0.416001165019213,-1.02973318823727,0.0555555555555556,0.538811459543167,NA,FALSE
"KMT2A",-0.745126325060848,0.362557831106568,-1.10768415616742,0.0555555555555556,0.538811459543167,NA,FALSE
"MYBL1",-1.09275801955697,0.504765765963662,-1.59752378552063,0.0555555555555556,0.538811459543167,NA,FALSE
"NKX2-1",0.568290378940772,-1.40902532720594,1.97731570614671,0.0555555555555556,0.538811459543167,NA,FALSE
"NR2F2",-0.702623475100324,0.373709621997869,-1.07633309709819,0.0555555555555556,0.538811459543167,NA,FALSE
"PPARG",-0.835472823972192,0.622125860050066,-1.45759868402226,0.0555555555555556,0.538811459543167,NA,FALSE
"SP2",-0.638349508100355,0.493924407870847,-1.1322739159712,0.0555555555555556,0.538811459543167,NA,FALSE
"SPDEF",-0.567819307120445,1.04860713810515,-1.61642644522559,0.0555555555555556,0.538811459543167,NA,FALSE
"SRF",-0.932289579440164,0.637753140523057,-1.57004271996322,0.0555555555555556,0.538811459543167,NA,FALSE
"VDR",0.50389364231477,-0.623006831005554,1.12690047332032,0.0555555555555556,0.538811459543167,NA,FALSE
"AIRE",-0.44327288790488,0.532895310968858,-0.976168198873738,0.0952380952380952,0.538811459543167,NA,FALSE
"BHLHA15",-0.792908320009734,0.739482354973049,-1.53239067498278,0.0952380952380952,0.538811459543167,NA,FALSE
"CREB3",0.41621919374737,-1.01732718793834,1.43354638168571,0.0952380952380952,0.538811459543167,NA,FALSE
"CREB5",-0.484089462898959,0.858757848558163,-1.34284731145712,0.0952380952380952,0.538811459543167,NA,FALSE
"DMTF1",-0.934632361687995,0.789982655482815,-1.72461501717081,0.0952380952380952,0.538811459543167,NA,FALSE
"ELK4",-0.696649906868807,0.819759606651147,-1.51640951351995,0.0952380952380952,0.538811459543167,NA,FALSE
"ESR2",0.523313570948,-0.511684308094326,1.03499787904233,0.0952380952380952,0.538811459543167,NA,FALSE
"ETS2",0.542410273560226,-0.958469801825577,1.5008800753858,0.0952380952380952,0.538811459543167,NA,FALSE
"FGF2",-0.485371154727297,0.657479480110461,-1.14285063483776,0.0952380952380952,0.538811459543167,NA,FALSE
"FOXC1",0.483776786050971,-1.42501880345314,1.90879558950411,0.0952380952380952,0.538811459543167,NA,FALSE
"FOXL2",-0.451614274483225,1.01000000721546,-1.46161428169868,0.0952380952380952,0.538811459543167,NA,FALSE
"FOXO1",0.824464346439857,-0.862565277754801,1.68702962419466,0.0952380952380952,0.538811459543167,NA,FALSE
"FOXP1",0.243269894063534,-0.561050893251961,0.804320787315495,0.0952380952380952,0.538811459543167,NA,FALSE
"GTF2I",0.457429947437599,-0.85170184866157,1.30913179609917,0.0952380952380952,0.538811459543167,NA,FALSE
"HLX",0.590372559139241,-0.928710851098736,1.51908341023798,0.0952380952380952,0.538811459543167,NA,FALSE
"HMGA1",0.916933310887693,-1.40196901783053,2.31890232871822,0.0952380952380952,0.538811459543167,NA,FALSE
"HNF1A",0.585615727476184,-1.00575878767554,1.59137451515172,0.0952380952380952,0.538811459543167,NA,FALSE
"IRF2",0.685667963993225,-1.35278830761783,2.03845627161106,0.0952380952380952,0.538811459543167,NA,FALSE
"IRF6",0.578103082851579,-1.26879926573696,1.84690234858853,0.0952380952380952,0.538811459543167,NA,FALSE
"KMT2B",0.646004638897158,-0.743919946731185,1.38992458562834,0.0952380952380952,0.538811459543167,NA,FALSE
"LRRFIP1",0.803334603822002,-0.573503803639375,1.37683840746138,0.0952380952380952,0.538811459543167,NA,FALSE
"MITF",0.165180841476576,-0.630433793832093,0.795614635308669,0.0952380952380952,0.538811459543167,NA,FALSE
"MTF1",-0.8829146925085,0.693905422734369,-1.57682011524287,0.0952380952380952,0.538811459543167,NA,FALSE
"MYOCD",-0.849476298311333,1.59507426136322,-2.44455055967456,0.0952380952380952,0.538811459543167,NA,FALSE
"MYOG",-0.979159290715282,1.24246891810285,-2.22162820881813,0.0952380952380952,0.538811459543167,NA,FALSE
"NCOA3",-0.661975528498701,0.835451347743777,-1.49742687624248,0.0952380952380952,0.538811459543167,NA,FALSE
"NEUROD6",-1.10374385962257,0.457373202143666,-1.56111706176624,0.0952380952380952,0.538811459543167,NA,FALSE
"NFIB",0.529312919715822,-0.800379982622938,1.32969290233876,0.0952380952380952,0.538811459543167,NA,FALSE
"NFYC",0.385754118475105,-0.653507494409489,1.03926161288459,0.0952380952380952,0.538811459543167,NA,FALSE
"NKX2-5",0.475988963316563,-0.37241769004102,0.848406653357582,0.0952380952380952,0.538811459543167,NA,FALSE
"PURA",0.630722022682615,-0.42464041173554,1.05536243441815,0.0952380952380952,0.538811459543167,NA,FALSE
"RUNX3",0.356561542010345,-0.377590428277994,0.734151970288339,0.0952380952380952,0.538811459543167,NA,FALSE
"SATB1",0.868222056161343,-0.86643311874473,1.73465517490607,0.0952380952380952,0.538811459543167,NA,FALSE
"SMAD6",-0.263328586770925,0.475546892095667,-0.738875478866592,0.0952380952380952,0.538811459543167,NA,FALSE
"SP7",0.598683024388188,-0.740219764167316,1.3389027885555,0.0952380952380952,0.538811459543167,NA,FALSE
"SRY",0.638996564706535,-0.478603044606919,1.11759960931345,0.0952380952380952,0.538811459543167,NA,FALSE
"STAT1",0.717082910009651,-1.86643411424356,2.58351702425321,0.0952380952380952,0.538811459543167,NA,FALSE
"TEAD4",-0.755565486796878,0.581156450963823,-1.3367219377607,0.0952380952380952,0.538811459543167,NA,FALSE
"UBTF",-0.533764388185497,0.493758107366988,-1.02752249555248,0.0952380952380952,0.538811459543167,NA,FALSE
"ASCL1",0.374518586758468,-0.888964181678283,1.26348276843675,0.150793650793651,0.538811459543167,NA,FALSE
"ATF1",-0.142916926732679,-0.597949179743521,0.455032253010842,0.150793650793651,0.538811459543167,NA,FALSE
"BACH2",0.434747071089235,-0.372727761708579,0.807474832797814,0.150793650793651,0.538811459543167,NA,FALSE
"DLX5",0.611187820671651,-1.36695267621131,1.97814049688296,0.150793650793651,0.538811459543167,"THY1(1)",TRUE
"EGR1",0.32653846037089,-1.66966787017876,1.99620633054965,0.150793650793651,0.538811459543167,NA,FALSE
"ERG",0.543914838430977,-1.33956755244178,1.88348239087275,0.150793650793651,0.538811459543167,NA,FALSE
"ETV4",1.03507447377313,-2.25649955826005,3.29157403203318,0.150793650793651,0.538811459543167,NA,FALSE
"ETV5",0.398015250866019,-0.898581690363505,1.29659694122952,0.150793650793651,0.538811459543167,NA,FALSE
"EZH2",0.187669728046548,-1.0869463601493,1.27461608819585,0.150793650793651,0.538811459543167,NA,FALSE
"FOSB_JUN",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSB_JUNB",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSB_JUND",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSL1_JUN",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSL1_JUNB",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSL1_JUND",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSL2_JUN",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSL2_JUNB",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOSL2_JUND",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOS_JUN",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOS_JUNB",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOS_JUND",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"FOXG1",-0.428045450615045,0.578954313122777,-1.00699976373782,0.150793650793651,0.538811459543167,NA,FALSE
"FOXQ1",0.539351174086267,-1.21762427250807,1.75697544659433,0.150793650793651,0.538811459543167,NA,FALSE
"GATA1",0.539482454159061,-1.16215453086052,1.70163698501958,0.150793650793651,0.538811459543167,NA,FALSE
"GATA2",0.417523764520193,-0.329474537094846,0.746998301615039,0.150793650793651,0.538811459543167,NA,FALSE
"GLI3",0.207754494189368,-0.740542965252594,0.948297459441962,0.150793650793651,0.538811459543167,NA,FALSE
"GRHL3",0.339719977947072,-0.775653424999215,1.11537340294629,0.150793650793651,0.538811459543167,NA,FALSE
"HIC1",0.664131981313213,-0.412730745228952,1.07686272654217,0.150793650793651,0.538811459543167,NA,FALSE
"HIF1A",0.437288046252994,-2.29184654966746,2.72913459592045,0.150793650793651,0.538811459543167,NA,FALSE
"HOXC6",0.6066881393338,-0.591682612887642,1.19837075222144,0.150793650793651,0.538811459543167,NA,FALSE
"HR",-0.141325227842852,-1.13158430034262,0.990259072499764,0.150793650793651,0.538811459543167,"THY1(1)",TRUE
"ID1",0.797962978040293,-0.527429652329924,1.32539263037022,0.150793650793651,0.538811459543167,NA,FALSE
"ID2",0.423307041033125,-0.775868357917125,1.19917539895025,0.150793650793651,0.538811459543167,"THY1(1)",TRUE
"JUN",0.390367393348069,-2.29950615875935,2.68987355210742,0.150793650793651,0.538811459543167,NA,FALSE
"JUNB",0.00782305546516588,-1.68203011244198,1.68985316790714,0.150793650793651,0.538811459543167,NA,FALSE
"JUNB_JUND",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"JUND",0.0661703048693896,-1.67580266853201,1.7419729734014,0.150793650793651,0.538811459543167,NA,FALSE
"JUN_JUNB",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"JUN_JUND",0.207034464583014,-1.88342849771239,2.09046296229541,0.150793650793651,0.538811459543167,NA,FALSE
"KLF7",-0.496016543258015,0.50561631855173,-1.00163286180974,0.150793650793651,0.538811459543167,NA,FALSE
"LITAF",0.49700514975423,-1.23849202864241,1.73549717839664,0.150793650793651,0.538811459543167,NA,FALSE
"MAFB",0.591132804896059,-0.545018108494133,1.13615091339019,0.150793650793651,0.538811459543167,NA,FALSE
"MECOM",-0.746247887914888,0.634442726216385,-1.38069061413127,0.150793650793651,0.538811459543167,NA,FALSE
"NEUROD1",0.396580993682769,-0.417396721859307,0.813977715542076,0.150793650793651,0.538811459543167,NA,FALSE
"NFATC1",0.0631865346261449,-1.12186833997253,1.18505487459868,0.150793650793651,0.538811459543167,NA,FALSE
"NR1H3",0.469244865419557,-1.0624732620029,1.53171812742245,0.150793650793651,0.538811459543167,NA,FALSE
"NR2C2",0.265683274839931,-0.782689859115807,1.04837313395574,0.150793650793651,0.538811459543167,NA,FALSE
"NR4A1",-0.40890531090783,0.760441732576416,-1.16934704348425,0.150793650793651,0.538811459543167,NA,FALSE
"NRF1",-1.35941681736077,0.509714691073723,-1.86913150843449,0.150793650793651,0.538811459543167,NA,FALSE
"PAX5",0.357767485393262,-1.56058680075615,1.91835428614941,0.150793650793651,0.538811459543167,NA,FALSE
"PBX1",0.349548950500978,-0.901134492170761,1.25068344267174,0.150793650793651,0.538811459543167,NA,FALSE
"POU2F1",0.432085078130126,-0.893162679083246,1.32524775721337,0.150793650793651,0.538811459543167,NA,FALSE
"POU2F2",0.783461828957864,-2.16480338098695,2.94826520994482,0.150793650793651,0.538811459543167,NA,FALSE
"POU3F2",0.202006617332077,-0.655682224161673,0.857688841493751,0.150793650793651,0.538811459543167,NA,FALSE
"POU4F2",-0.665151842096986,0.227448481787665,-0.892600323884651,0.150793650793651,0.538811459543167,NA,FALSE
"PPARGC1A",-0.811470869320656,0.626740024689711,-1.43821089401037,0.150793650793651,0.538811459543167,NA,FALSE
"RARA",0.665318937483293,-1.48258693309005,2.14790587057334,0.150793650793651,0.538811459543167,NA,FALSE
"SIRT1",-0.413177179483753,0.986762317072596,-1.39993949655635,0.150793650793651,0.538811459543167,NA,FALSE
"SMAD7",-0.87160972060126,1.09696360407001,-1.96857332467127,0.150793650793651,0.538811459543167,NA,FALSE
"SOX9",0.287996658439532,-0.478912239404012,0.766908897843544,0.150793650793651,0.538811459543167,NA,FALSE
"SP1",0.411117733390987,-2.78397458300787,3.19509231639886,0.150793650793651,0.538811459543167,NA,FALSE
